Date,sp500,ret_1d,ret_5d,ret_10d,vol_10d
2000-04-20,90.57627868652344,0.004803619,-0.00303297,-0.044335857,0.4142889730857635
2000-04-24,89.59221649169922,-0.010864458,0.045956404,-0.060668211,0.4110112064084461
2000-04-25,93.31207275390624,0.04151986,0.0526199828938278,-0.017816481,0.4754865608319642
2000-04-26,92.2590789794922,-0.011284647,0.0139513901961187,-0.026074999,0.4780879559490769
2000-04-27,91.95399475097656,-0.003306821,0.0200872465078629,-0.001922769,0.45737803
2000-04-28,91.38323974609376,-0.006206963,0.008909188,0.005849197,0.4523611018589991
2000-05-01,92.62318420410156,0.0135686200385647,0.0338307035040612,0.081341845,0.3168720781581181
2000-05-02,90.77312469482422,-0.019974043,-0.027209213,0.0239790216157775,0.3060447287404119
2000-05-03,88.64744567871094,-0.023417493,-0.039146644,-0.025741404,0.2993297776330634
2000-05-04,89.31661224365234,0.007548628,-0.028681544,-0.00917043,0.3004738864743168
2000-05-05,90.39916992,0.0121204516274024,-0.010768603,-0.001955355,0.3064537122230346
2000-05-08,89.72010803222656,-0.007511816,-0.031342867,0.001427485,0.3035834720546034
2000-05-09,89.00174713134766,-0.008006688,-0.019514339,-0.046192583,0.1991688017321504
2000-05-10,86.99417114257812,-0.022556591,-0.018649996,-0.057066555,0.2169328619375964
2000-05-11,88.98207092285156,0.022850954,-0.003745567,-0.032319682,0.260608616
2000-05-12,89.94649505615234,0.01083841,-0.005007511,-0.01572219,0.2689399369357055
2000-05-15,91.50133514404295,0.017286278,0.019853154,-0.012111968,0.2753261901355777
2000-05-16,92.3870086669922,0.009679351,0.0380359,0.0177793149414409,0.2580539629331073
2000-05-17,91.42260742,-0.010438711,0.050904977,0.031305603,0.2290151789820852
2000-05-18,90.3007354736328,-0.012271275,0.0148194410076671,0.011018367,0.2397906742182381
2000-05-19,88.88362884521484,-0.01569319,-0.01181665,-0.016764989,0.2449151924160544
2000-05-22,88.21447754,-0.007528398,-0.035921417,-0.016781416,0.2449264471826192
2000-05-23,86.91546630859375,-0.014725601,-0.059224153,-0.023440897,0.2520777432060787
2000-05-24,88.33254242,0.016304073038146,-0.033799791,0.0153846086384565,0.2396260493851346
2000-05-25,86.81702423095703,-0.017156963,-0.038578991,-0.024331269,0.2240818701839314
2000-05-26,86.91546630859375,0.001133903,-0.022143139,-0.033698131,0.2130903263263331
2000-05-30,89.74967193603516,0.032608761,0.0174029755636522,-0.019143581,0.2627229963077993
2000-05-31,89.94649505615234,0.002193023,0.0348732955858157,-0.026416199,0.2561629946515392
2000-06-01,91.52101135253906,0.0175050322461567,0.036096198,0.001076363,0.2701184239834228
2000-06-02,93.11524200439452,0.017419286,0.072545884,0.0311681462614834,0.2727296435040436
2000-06-05,92.66256713867188,-0.004861448,0.066122879,0.042515572,0.2566598316557957
2000-06-06,92.24929047,-0.004460018,0.0278510046482947,0.045738671,0.2531420991988284
2000-06-07,92.88889313,0.006933416,0.0327127596183949,0.068726857,0.2290574133758538
2000-06-08,92.52478790283205,-0.003919793,0.0109677169806003,0.047459808,0.2279635202962403
2000-06-09,92.32799530029295,-0.002126918,-0.008454542,0.063478,0.198066191
2000-06-12,91.24549865722656,-0.011724468,-0.015292782,0.0498188933746155,0.2169683963169688
2000-06-13,92.95777893066406,0.0187656410303576,0.007680151,0.0357450553904568,0.1745511871529739
2000-06-14,93.11524200439452,0.00169392,0.00243677,0.035229243,0.1746795549483335
2000-06-15,93.31207275390624,0.00211384,0.008508907,0.0195699476535287,0.1563037921250658
2000-06-16,92.54537963867188,-0.008216441,0.002354479,-0.006119969,0.1372305706941034
2000-06-19,93.72910309,0.0127907352514915,0.0272189255108601,0.0115098899441339,0.1498414375487993
2000-06-20,93.39368438720705,-0.003578597,0.004689284,0.0124054495716299,0.1489744920470892
2000-06-21,93.35421752929688,-0.000422586,0.002566449,0.005009473,0.1456891073845869
2000-06-22,91.933815,-0.015215194,-0.014770412,-0.006387185,0.1651058252118204
2000-06-23,91.14464569091795,-0.008584103,-0.015135644,-0.012816802,0.1698990317323455
2000-06-26,92.31849670410156,0.012878990359612,-0.015049823,0.011759462797237,0.1722539784887099
2000-06-27,91.63788604736328,-0.007372419,-0.018799969,-0.014198843,0.1456357040347019
2000-06-28,91.89434051513672,0.002798564,-0.01563804,-0.013111725,0.1463945115057212
2000-06-29,91.02628326416016,-0.009446254,-0.009871577,-0.024496182,0.1503377976516323
2000-06-30,91.71678924560548,0.007585787,0.006277314,-0.008953342,0.1542061824290632
2000-07-03,92.97934723,0.0137658327748202,0.007158376,-0.007999179,0.1566803154055901
2000-07-05,91.30247497558594,-0.01803489,-0.003660179,-0.022391336,0.1791584245808996
2000-07-06,92.01269531,0.007778763,0.001287944,-0.014370237,0.1860408414579055
2000-07-07,93.49231719970705,0.0160806275936362,0.027091449,0.0169524368941311,0.1872259965861039
2000-07-10,93.33448028564452,-0.001688234,0.0176378943631259,0.0240259269003308,0.1796193173766238
2000-07-11,93.53177642822266,0.002113861,0.005941418,0.013142325,0.1699622058134483
2000-07-12,94.14331817626952,0.006538331,0.0311146351886213,0.0273405709905978,0.1642024231312927
2000-07-13,94.55767822265624,0.004401375,0.027659041,0.028982609,0.1644129007291617
2000-07-14,95.48489379882812,0.00980582,0.021312731,0.048981573,0.1518249979238056
2000-07-17,95.32704926,-0.001653084,0.0213486908978164,0.039363131,0.154202741
2000-07-18,94.54779052734376,-0.008174581,0.0108627691884028,0.016868728,0.1542752079011289
2000-07-19,93.78820037841795,-0.008033928,-0.003772098,0.027225170002201,0.1235286014968069
2000-07-20,95.09033966064452,0.0138838284237534,0.005633191,0.03344804,0.1338997207946593
2000-07-21,93.23586273,-0.019502264,-0.023553789,-0.002743054,0.156279574613968
2000-07-24,92.70322418,-0.005712808,-0.027524455,-0.006763375,0.158618807
2000-07-25,92.99912262,0.003191889,-0.016379737,-0.005694897,0.1592327212269544
2000-07-26,92.09162902832033,-0.009758088,-0.01808939,-0.021793253,0.160003183817976
2000-07-27,91.77600098,-0.003427326,-0.034854631,-0.029417783,0.1557916797821628
